-- Testing: 210 tests, 12 workers --
FAIL: LLVM :: tools/llvm-objcopy/ELF/keep-symbol-remove-section.test (99 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/keep-symbol.test (100 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/marker-segment.test (101 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/linked-section.test (102 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/localize-hidden.test (103 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/localize.test (104 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/keep-global-symbols.test (105 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/new-symbol-visibility.test (106 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/no-symbol-relocation.test (107 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/invalid-e_shoff.test (108 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/no-build-id-no-notes.test (109 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/only-keep-debug.test (110 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/only-section-many.test (111 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/no-strip-all.test (112 of 210)
PASS: LLVM :: tools/llvm-objcopy/ELF/null-symbol.test (113 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/mirror-permissions-unix.test (114 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/only-section-remove-strtab.test (115 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/only-section-strip-non-alloc.test (116 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/no-build-id.test (117 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/overlap-chain.test (118 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/partitions.test (119 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/parent-loop-check.test (120 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/prefix-alloc-sections-dynrelocsec.test (121 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/overlapping-sections.test (122 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/overlapping-sections-in-segments.test (123 of 210)
FAIL: LLVM :: tools/llvm-objcopy/ELF/prefix-alloc-sections.test (124 of 210)
